Unnamed: 0,title,description,cat2_slug,cat3_slug,city_slug,city_category,building_size,land_size,rooms_count,construction_year,floor,total_floors_count,building_direction,floor_material,deed_type,building_age,user_type,price_value,credit_value,rent_value,has_elevator,has_parking,has_storage,has_balcony,has_security,has_pool,has_sauna,has_jacuzzi,has_gym,has_lobby,has_video_intercom,has_remote_door,has_central_vacuum,has_barbecue,is_rebuilt,has_business_deed,location_latitude,location_longitude,location_radius,created_at,created_at_month,price_mode,credit_mode,rent_mode,rent_to_single,rent_type,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,has_water,has_electricity,has_gas,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,property_type,has_roof_garden,has_guard,has_master_room,neighborhood_slug
93,Property listing 93,A nice property with 2 bedrooms,land-sell,commercial,tabriz,capital,362.0,475.0,3_rooms,1396,5,19.0,west,ceramic,cooperative,10-20,personal,32979200148.085373,,,unselect,true,true,true,false,true,false,false,unselect,unselect,true,unselect,false,true,False,True,35.59648840264188,52.6828409133363,200,2023-01-16 12:00:00,Aban,,,agreeable,False,,False,True,,67228635.5708105,True,3401709.5038848952,False,False,,2,,100000,1000000,800000,,apartment,unselect,true,true,neighborhood_2
94,Property listing 94,A nice property with 2 bedrooms,apartment-sell,residential,shiraz,capital,219.0,596.0,2_rooms,1400,1,1.0,south,parquet,official,20+,agency,,,12866988.834094618,false,unselect,false,true,true,false,unselect,false,false,true,true,unselect,true,false,,,33.35242625371671,50.19833988209601,1000,2023-01-16 16:00:00,Tir,,agreeable,fixed,False,,,False,True,671329817.3865902,,4676581.241880409,True,False,,,3,200000,,800000,600000,apartment,false,true,true,neighborhood_4
95,Property listing 95,A nice property with 2 bedrooms,land-sell,commercial,mashhad,major,229.0,351.0,0_rooms,1396,8,7.0,east,parquet,cooperative,new,personal,13325859641.723236,6928802272.775043,9413789.45971072,true,false,false,unselect,unselect,unselect,false,false,unselect,unselect,unselect,false,true,unselect,,True,34.97666304992644,52.175894315905914,100,2023-01-16 20:00:00,Mehr,agreeable,fixed,,,,True,,False,463403547.3860345,True,4291720.27759062,False,True,,6,,100000,1000000,800000,,land,false,false,unselect,neighborhood_3
96,Property listing 96,A nice property with 2 bedrooms,house-rent,office,isfahan,minor,446.0,398.0,3_rooms,1400,0,4.0,north-west,mosaic,cooperative,new,personal,,5723256249.364948,,true,unselect,false,false,false,false,unselect,true,false,true,unselect,unselect,false,true,,,35.03922762840128,52.06024138303148,100,2023-01-17 00:00:00,Shahrivar,agreeable,fixed,,,daily,False,True,False,831053440.8973383,,6444780.259798835,,,,8,1,200000,1000000,1500000,600000,,false,unselect,unselect,neighborhood_2
97,Property listing 97,A nice property with 4 bedrooms,land-sell,office,tabriz,minor,193.0,98.0,4_rooms,1399,1,1.0,north-east,ceramic,endowment,new,personal,,,15209382.239562951,true,true,false,unselect,false,false,unselect,unselect,true,unselect,true,unselect,true,unselect,False,False,34.60221991524896,52.766136900307906,200,2023-01-17 04:00:00,Aban,,,agreeable,False,,True,False,,98890839.98231696,True,9371895.488758545,,True,,,3,100000,,,600000,apartment,true,unselect,unselect,neighborhood_4
98,Property listing 98,A nice property with 2 bedrooms,apartment-sell,shop,tabriz,capital,235.0,123.0,2_rooms,1401,14,15.0,north-east,stone,cooperative,1-5,agency,5770937330.966298,,31816352.101257138,unselect,unselect,true,false,unselect,false,false,true,true,false,unselect,false,true,true,False,False,33.57946609257717,50.31012564643669,200,2023-01-17 08:00:00,Shahrivar,fixed,fixed,,,,True,False,,144732933.33807224,False,1078643.3844424249,False,,,,3,100000,1000000,,1200000,,unselect,unselect,false,neighborhood_4
99,Property listing 99,A nice property with 1 bedrooms,house-rent,commercial,mashhad,minor,350.0,310.0,4_rooms,1400,0,8.0,north-west,mosaic,official,1-5,personal,295526910.05955374,,,unselect,false,unselect,unselect,unselect,unselect,true,false,false,unselect,true,unselect,unselect,false,True,,34.4335368672661,53.221115141313646,200,2023-01-17 12:00:00,Tir,fixed,fixed,fixed,,,True,True,True,306457731.35045063,False,992601.4930919491,False,,True,2,3,,,800000,1200000,villa,true,true,true,neighborhood_3
100,Property listing 100,A nice property with 3 bedrooms,land-sell,office,mashhad,capital,301.0,405.0,1_room,1397,8,12.0,north-west,parquet,cooperative,20+,personal,49973087984.877686,8795832308.183804,33092114.123798758,unselect,false,unselect,false,false,unselect,false,unselect,true,false,unselect,false,true,true,False,True,32.160794765031504,50.55761376804602,200,2023-01-17 16:00:00,Ordibehesht,agreeable,fixed,,,,False,True,,765865986.9388081,True,8528061.11090902,,False,False,8,1,100000,500000,1500000,1200000,land,false,true,unselect,neighborhood_2
101,Property listing 101,A nice property with 2 bedrooms,house-rent,residential,shiraz,major,458.0,309.0,2_rooms,1400,4,18.0,south,ceramic,official,10-20,personal,,4106137629.5500126,14881529.871887408,unselect,unselect,unselect,true,false,unselect,false,unselect,unselect,true,true,false,false,true,True,,35.04758316875162,51.67465845384749,200,2023-01-17 20:00:00,Mehr,,fixed,fixed,False,,True,True,False,305758823.1556988,,5063967.046524591,False,False,,4,,,,,600000,villa,unselect,true,unselect,neighborhood_3
102,Property listing 102,A nice property with 2 bedrooms,house-sell,shop,tehran,capital,445.0,344.0,3_rooms,1400,9,15.0,north-east,laminate,endowment,10-20,personal,39357478435.20368,,1011903.7872911239,unselect,false,false,true,unselect,false,false,false,false,false,true,true,false,unselect,False,True,32.39835459331336,53.525152030006545,1000,2023-01-18 00:00:00,Bahman,fixed,fixed,agreeable,True,,True,True,False,408418707.4986926,True,7664050.235684422,,,,2,3,,1000000,,1200000,,unselect,false,true,neighborhood_2
103,Property listing 103,A nice property with 4 bedrooms,house-sell,residential,mashhad,minor,466.0,362.0,2_rooms,1399,5,17.0,north-west,stone,official,new,agency,25535331156.88017,713902169.8929133,7219866.826034642,false,false,true,true,false,unselect,false,false,unselect,unselect,false,false,true,true,,,33.587003703198405,52.242126421981986,1000,2023-01-18 04:00:00,Bahman,fixed,,,,,False,True,,301603566.29716456,,2154219.0360728144,False,True,,8,1,100000,500000,,600000,villa,true,true,false,neighborhood_2
104,Property listing 104,A nice property with 2 bedrooms,land-sell,commercial,mashhad,major,182.0,231.0,4_rooms,1402,13,14.0,west,parquet,cooperative,5-10,personal,15073347436.981453,2788654968.084619,,unselect,false,true,unselect,false,true,false,false,true,false,true,false,unselect,false,True,,32.41447515065987,51.51836365501894,500,2023-01-18 08:00:00,Tir,fixed,fixed,fixed,False,monthly,,,False,80224291.80102997,False,8288625.731675518,,False,False,,3,,1000000,,,villa,true,false,true,neighborhood_4
105,Property listing 105,A nice property with 2 bedrooms,house-rent,commercial,isfahan,capital,381.0,413.0,0_rooms,1398,4,14.0,west,mosaic,endowment,1-5,personal,7648087794.687529,3251821425.197784,43500377.31665254,true,true,true,unselect,true,unselect,unselect,false,unselect,true,true,false,false,false,True,False,35.34829778327638,50.19280896818335,200,2023-01-18 12:00:00,Azar,fixed,fixed,agreeable,True,,True,True,,939433622.8961874,,9238466.241926959,False,False,,,3,100000,500000,,,villa,false,unselect,false,neighborhood_1
106,Property listing 106,A nice property with 2 bedrooms,apartment-sell,commercial,tabriz,capital,355.0,237.0,2_rooms,1399,18,18.0,north-east,ceramic,cooperative,1-5,personal,,9451773262.96142,12446842.569775606,unselect,true,unselect,unselect,unselect,false,unselect,false,true,false,false,unselect,false,true,True,True,34.20120957374384,52.68909406880689,100,2023-01-18 16:00:00,Azar,agreeable,fixed,fixed,False,,,True,False,548538992.0711888,True,6354830.155464882,,,,6,1,,,800000,600000,apartment,false,true,true,neighborhood_2
107,Property listing 107,A nice property with 4 bedrooms,land-sell,shop,tehran,major,140.0,592.0,3_rooms,1397,7,18.0,north-west,stone,endowment,new,agency,18860963974.26404,,,true,false,false,true,true,false,true,false,true,false,false,true,unselect,true,False,True,34.76382048067709,53.946187061227135,100,2023-01-18 20:00:00,Mehr,fixed,fixed,,False,daily,,,True,787833188.1854967,False,1058790.2147380223,True,,False,4,2,,500000,800000,1200000,apartment,false,false,unselect,neighborhood_2
108,Property listing 108,A nice property with 2 bedrooms,house-sell,office,isfahan,major,283.0,597.0,1_room,1398,18,16.0,south,ceramic,endowment,1-5,personal,37839873839.31667,,30820008.06552474,unselect,unselect,true,false,true,true,true,unselect,true,unselect,unselect,unselect,true,unselect,True,True,34.73032867937045,53.647185595033534,200,2023-01-19 00:00:00,Mordad,fixed,agreeable,,False,monthly,,False,,658357092.185296,,8952948.141563388,True,False,,2,3,200000,500000,800000,1200000,land,false,false,unselect,neighborhood_3
109,Property listing 109,A nice property with 3 bedrooms,house-sell,shop,shiraz,capital,51.0,457.0,5plus_rooms,1395,10,1.0,south,laminate,cooperative,new,personal,,6716331191.407155,,unselect,true,false,true,unselect,unselect,false,false,unselect,unselect,unselect,false,false,unselect,False,True,35.36642492663402,52.86918431029371,200,2023-01-19 04:00:00,Khordad,,agreeable,fixed,True,,,,,514254279.06197506,,7924877.273700713,False,True,False,6,2,200000,500000,,,,unselect,true,unselect,neighborhood_2
110,Property listing 110,A nice property with 4 bedrooms,land-sell,residential,shiraz,minor,278.0,463.0,0_rooms,1395,17,11.0,south,mosaic,cooperative,20+,personal,,1630211890.354695,19306677.317168895,true,unselect,true,true,true,unselect,true,false,true,false,true,false,true,false,True,True,32.53027761338054,50.42117143302378,200,2023-01-19 08:00:00,Khordad,,agreeable,agreeable,False,daily,,False,,89678256.65938012,False,7508777.765144899,True,False,False,6,3,100000,1000000,,600000,,false,false,false,neighborhood_2
111,Property listing 111,A nice property with 3 bedrooms,house-rent,shop,mashhad,capital,88.0,391.0,1_room,1402,18,15.0,north,ceramic,endowment,10-20,personal,,4869559447.547326,34391570.0133414,true,false,false,false,false,true,true,unselect,false,true,unselect,true,true,unselect,False,False,34.638912561619534,50.95776037360157,200,2023-01-19 12:00:00,Azar,agreeable,agreeable,agreeable,True,,,False,False,642733545.2703043,True,367281.8890591556,,,,4,2,,500000,,600000,land,false,true,true,neighborhood_2
112,Property listing 112,A nice property with 4 bedrooms,house-sell,residential,mashhad,major,81.0,269.0,2_rooms,1397,1,12.0,north-east,parquet,endowment,5-10,agency,,,,true,false,true,false,true,false,false,true,true,false,unselect,true,true,true,True,,34.30053621761463,50.74739607781315,200,2023-01-19 16:00:00,Azar,agreeable,,agreeable,,,False,,True,155370355.93683213,False,7989625.252569712,False,False,True,2,,200000,,800000,600000,,false,false,false,neighborhood_2
113,Property listing 113,A nice property with 2 bedrooms,house-rent,shop,shiraz,capital,205.0,212.0,4_rooms,1399,13,8.0,south,mosaic,cooperative,10-20,personal,20583885813.49923,8669883578.14039,,true,unselect,false,false,unselect,false,unselect,false,false,true,true,false,true,false,,True,32.123588490285265,51.42184656102258,100,2023-01-19 20:00:00,Esfand,agreeable,agreeable,agreeable,True,,False,True,,414383169.35627663,True,1379510.10468357,False,,True,2,2,200000,,,,,true,unselect,unselect,neighborhood_2
114,Property listing 114,A nice property with 3 bedrooms,house-sell,office,mashhad,major,121.0,269.0,4_rooms,1396,0,6.0,west,parquet,official,10-20,personal,46666326560.74601,6266330153.877643,48227065.398220845,false,true,true,false,false,unselect,unselect,unselect,false,true,false,false,false,unselect,,True,32.80569163529121,50.94206891116614,500,2023-01-20 00:00:00,Bahman,agreeable,,fixed,False,,,False,False,629113143.4804304,True,2223861.7619688837,,False,,,2,200000,,800000,,villa,true,unselect,false,neighborhood_1
115,Property listing 115,A nice property with 4 bedrooms,house-sell,residential,tehran,major,468.0,319.0,3_rooms,1397,19,3.0,north-west,ceramic,cooperative,20+,agency,,,,true,unselect,true,true,false,unselect,true,unselect,false,true,false,unselect,unselect,false,True,,33.07028616551288,50.97775778388677,200,2023-01-20 04:00:00,Tir,fixed,agreeable,,True,,False,True,,782229000.4721234,,5771348.3486925755,,,False,2,2,,500000,,1200000,villa,true,unselect,false,neighborhood_4
116,Property listing 116,A nice property with 1 bedrooms,apartment-rent,commercial,mashhad,minor,330.0,449.0,4_rooms,1401,0,13.0,east,mosaic,endowment,1-5,agency,,,,unselect,unselect,false,unselect,false,unselect,unselect,true,false,false,true,false,false,true,False,False,32.29022550171666,52.46691974150162,200,2023-01-20 08:00:00,Bahman,,,fixed,False,daily,False,,False,685045175.7086196,True,2649807.7291688304,,,False,6,2,100000,,800000,600000,,false,true,false,neighborhood_2
117,Property listing 117,A nice property with 2 bedrooms,house-sell,commercial,tabriz,major,197.0,231.0,0_rooms,1398,1,13.0,east,parquet,cooperative,5-10,agency,23372092265.776974,9458307207.491009,,unselect,false,false,true,false,unselect,unselect,false,unselect,true,true,unselect,unselect,unselect,False,False,33.418879223595205,51.27481062384553,200,2023-01-20 12:00:00,Farvardin,fixed,agreeable,,,,,False,True,671533529.0546288,True,6613482.063119197,False,True,False,,,,1000000,1500000,600000,land,unselect,unselect,true,neighborhood_3
118,Property listing 118,A nice property with 4 bedrooms,apartment-sell,shop,mashhad,major,255.0,254.0,4_rooms,1398,4,2.0,south,laminate,official,1-5,personal,18147137551.432636,1334415034.0699787,,false,true,unselect,false,true,unselect,true,false,false,false,true,true,true,true,False,False,32.108810034861904,52.70865150588989,1000,2023-01-20 16:00:00,Dey,fixed,fixed,,True,daily,,True,False,149042209.1752075,False,6080704.476990816,,,,2,1,,,,600000,land,false,unselect,false,neighborhood_3
119,Property listing 119,A nice property with 1 bedrooms,land-sell,commercial,isfahan,minor,197.0,277.0,3_rooms,1400,13,5.0,east,laminate,cooperative,10-20,agency,5509178598.559474,,,true,unselect,false,unselect,true,false,false,false,true,true,true,unselect,unselect,true,,,34.21273396903092,53.791558636584725,100,2023-01-20 20:00:00,Mordad,fixed,agreeable,fixed,,,True,False,False,346128540.07158786,False,1081495.9801326264,True,False,True,4,2,200000,500000,,600000,,true,unselect,false,neighborhood_2
120,Property listing 120,A nice property with 4 bedrooms,land-sell,residential,tehran,major,173.0,299.0,5plus_rooms,1395,8,17.0,east,ceramic,endowment,new,personal,43809057807.09163,2655515054.565405,,unselect,true,true,unselect,false,false,true,unselect,false,true,true,false,true,false,,,32.84600384231915,52.553911666452954,100,2023-01-21 00:00:00,Aban,,agreeable,fixed,True,daily,False,False,,42912272.66019415,True,6560145.7959150635,False,,False,6,1,,,800000,,land,true,true,false,neighborhood_2
121,Property listing 121,A nice property with 1 bedrooms,house-rent,commercial,isfahan,minor,106.0,490.0,2_rooms,1402,7,6.0,north,mosaic,cooperative,10-20,agency,39179685448.49235,,,false,false,true,true,unselect,false,true,false,true,false,true,unselect,false,false,,False,33.14801242203679,53.00662670884149,500,2023-01-21 04:00:00,Dey,agreeable,agreeable,agreeable,False,monthly,,,False,719476893.1764646,,9239549.0982493,,False,False,8,3,,500000,,1200000,land,false,false,unselect,neighborhood_2
122,Property listing 122,A nice property with 2 bedrooms,house-sell,office,isfahan,minor,375.0,582.0,2_rooms,1398,-1,2.0,west,stone,endowment,1-5,personal,,,2087937.8364046656,unselect,true,false,true,false,false,true,false,unselect,unselect,unselect,unselect,false,false,False,False,35.64188650468514,53.00632166113135,1000,2023-01-21 08:00:00,Tir,agreeable,fixed,,True,,False,True,,952585981.3174192,False,1611099.0518583313,False,True,,4,1,200000,500000,800000,,villa,unselect,true,unselect,neighborhood_1
123,Property listing 123,A nice property with 3 bedrooms,apartment-sell,office,tabriz,major,46.0,245.0,4_rooms,1397,14,4.0,west,mosaic,endowment,10-20,agency,,7540598992.653906,15882468.729959464,false,false,unselect,true,true,true,false,false,false,unselect,unselect,true,unselect,unselect,False,,34.011267396494105,51.32281115359724,1000,2023-01-21 12:00:00,Dey,,,agreeable,,monthly,False,True,False,264110390.17907578,,5970620.209428874,True,False,True,4,2,200000,,800000,1200000,land,unselect,true,true,neighborhood_4
124,Property listing 124,A nice property with 1 bedrooms,house-rent,shop,tehran,major,475.0,568.0,1_room,1398,4,11.0,north,laminate,cooperative,new,personal,24420002915.27012,2198401138.868234,,false,true,false,unselect,false,false,false,false,true,false,unselect,unselect,true,unselect,False,False,33.076055724977664,50.059831978373744,1000,2023-01-21 16:00:00,Dey,,,agreeable,True,monthly,False,False,True,87696709.16230932,False,3418653.7193669407,True,True,True,2,1,,1000000,1500000,600000,apartment,unselect,unselect,unselect,neighborhood_3
125,Property listing 125,A nice property with 4 bedrooms,apartment-rent,residential,tehran,capital,53.0,119.0,2_rooms,1402,7,8.0,north,parquet,endowment,20+,agency,31292068479.057777,4435969366.585257,,true,unselect,true,unselect,true,true,false,true,unselect,false,false,false,true,false,True,True,34.39384703299226,50.22019185197686,500,2023-01-21 20:00:00,Tir,agreeable,fixed,fixed,,monthly,True,True,False,475570076.7536536,False,4596116.717736039,,True,,,,200000,1000000,1500000,600000,villa,true,false,true,neighborhood_1
126,Property listing 126,A nice property with 2 bedrooms,house-rent,office,tehran,minor,112.0,448.0,5plus_rooms,1402,2,12.0,east,stone,endowment,1-5,personal,47314726010.16393,6181953813.946971,13360388.858903348,false,false,true,unselect,false,false,false,true,unselect,unselect,true,unselect,unselect,unselect,True,,32.806685739469984,51.128241003538236,500,2023-01-22 00:00:00,Esfand,fixed,agreeable,agreeable,,,,False,,856698223.1275688,True,2870001.790789699,False,,True,,,100000,,,600000,apartment,true,unselect,unselect,neighborhood_1
127,Property listing 127,A nice property with 1 bedrooms,house-rent,office,tehran,capital,438.0,252.0,4_rooms,1402,0,8.0,north-east,ceramic,official,10-20,personal,29030594943.947735,,,unselect,unselect,unselect,false,unselect,unselect,true,true,true,unselect,true,unselect,true,unselect,True,False,32.297582743056736,52.75817273463039,500,2023-01-22 04:00:00,Azar,agreeable,agreeable,agreeable,False,monthly,False,,False,551974195.2717797,False,3541306.3634769525,,True,,6,2,100000,500000,,600000,,unselect,unselect,true,neighborhood_2
128,Property listing 128,A nice property with 4 bedrooms,house-sell,residential,tehran,major,444.0,197.0,3_rooms,1397,2,11.0,north-west,stone,official,1-5,personal,27056841612.253067,1048554165.3647718,,unselect,false,false,false,false,unselect,unselect,false,false,unselect,unselect,unselect,true,false,,True,32.08362541760108,53.62673255459317,1000,2023-01-22 08:00:00,Azar,,agreeable,agreeable,True,daily,,,False,46777150.190113306,False,289118.2326655728,False,False,False,2,1,100000,,800000,600000,land,false,true,true,neighborhood_4
129,Property listing 129,A nice property with 4 bedrooms,apartment-rent,commercial,tabriz,capital,202.0,521.0,5plus_rooms,1396,-1,8.0,north-west,ceramic,official,20+,personal,,,,true,true,true,true,unselect,unselect,true,false,unselect,false,false,false,true,true,,,35.806116181505026,53.83519304876299,100,2023-01-22 12:00:00,Mehr,agreeable,,fixed,,,False,True,True,974272240.527946,,9815517.379172206,,True,,,3,100000,500000,800000,,apartment,unselect,true,true,neighborhood_2
130,Property listing 130,A nice property with 4 bedrooms,house-rent,commercial,mashhad,minor,105.0,248.0,4_rooms,1400,17,8.0,east,stone,official,10-20,personal,3239083053.299394,,47208014.77264107,true,true,true,unselect,unselect,true,false,unselect,true,true,unselect,unselect,false,unselect,False,,34.89844329657247,50.10339465536029,1000,2023-01-22 16:00:00,Dey,agreeable,,agreeable,False,monthly,,,,828649909.9626007,False,6247999.220727483,,True,False,8,,100000,500000,800000,1200000,land,false,true,unselect,neighborhood_3
131,Property listing 131,A nice property with 1 bedrooms,apartment-sell,shop,isfahan,capital,386.0,475.0,5plus_rooms,1395,8,17.0,north-west,ceramic,endowment,10-20,personal,,,39958571.17787704,false,false,true,true,false,false,unselect,unselect,false,false,true,false,false,unselect,True,True,35.199792593169526,53.96034898253109,500,2023-01-22 20:00:00,Aban,agreeable,fixed,agreeable,False,,,,True,131594077.05151016,False,5007055.904938853,False,,,2,2,200000,500000,800000,,apartment,true,unselect,false,neighborhood_4
132,Property listing 132,A nice property with 1 bedrooms,apartment-sell,commercial,tehran,minor,169.0,541.0,2_rooms,1398,19,16.0,north,ceramic,cooperative,1-5,personal,,,9881262.522026045,true,false,false,unselect,unselect,false,true,unselect,unselect,unselect,true,unselect,false,true,False,,35.92367091271533,51.28998887342677,1000,2023-01-23 00:00:00,Esfand,,fixed,fixed,False,monthly,,True,False,921797756.5035089,,3837153.495003267,False,False,False,2,,200000,1000000,,600000,villa,true,false,unselect,neighborhood_2
133,Property listing 133,A nice property with 1 bedrooms,land-sell,residential,mashhad,major,458.0,191.0,3_rooms,1397,13,14.0,west,stone,endowment,1-5,personal,37193309488.94362,,35888390.09870997,unselect,false,false,true,unselect,true,unselect,false,true,true,unselect,true,true,true,True,False,35.72651481365376,53.37182491294046,200,2023-01-23 04:00:00,Esfand,,,fixed,,daily,False,False,True,450688288.6051886,True,5393745.588240276,True,True,False,,2,100000,1000000,1500000,1200000,,true,false,false,neighborhood_3
134,Property listing 134,A nice property with 3 bedrooms,apartment-rent,office,mashhad,major,245.0,362.0,4_rooms,1399,17,11.0,north-west,stone,endowment,new,agency,36194182169.29876,,19862977.4092403,unselect,true,unselect,false,true,true,false,true,unselect,false,unselect,true,false,true,True,,34.947652794550066,50.72118184278712,1000,2023-01-23 08:00:00,Tir,agreeable,agreeable,fixed,True,,True,,False,371897990.5749412,True,3801059.9871580396,True,,,4,1,100000,,,1200000,apartment,unselect,unselect,unselect,neighborhood_1
135,Property listing 135,A nice property with 1 bedrooms,apartment-rent,commercial,isfahan,minor,315.0,214.0,0_rooms,1395,14,7.0,east,ceramic,endowment,20+,personal,6889206098.138983,,,true,false,true,unselect,true,true,unselect,true,unselect,unselect,true,true,true,false,False,False,34.77594827927728,50.251593030427436,1000,2023-01-23 12:00:00,Aban,agreeable,agreeable,,,,,True,False,461053330.52718824,False,3599079.274936733,False,,False,2,1,100000,1000000,,600000,villa,unselect,false,false,neighborhood_3
136,Property listing 136,A nice property with 1 bedrooms,land-sell,shop,tabriz,major,295.0,363.0,3_rooms,1396,19,16.0,north-east,laminate,cooperative,new,personal,41820337149.68452,,39381214.529504456,true,false,true,false,unselect,true,unselect,true,true,false,unselect,false,true,true,False,True,33.347399987741504,51.51342169625075,100,2023-01-23 16:00:00,Shahrivar,fixed,agreeable,fixed,False,monthly,True,True,True,834571956.8709472,False,4639465.4172201315,True,False,True,4,1,200000,500000,,1200000,,true,unselect,unselect,neighborhood_3
137,Property listing 137,A nice property with 1 bedrooms,house-rent,commercial,shiraz,major,305.0,70.0,0_rooms,1397,2,13.0,east,stone,official,10-20,agency,,7301592285.858942,,true,unselect,unselect,unselect,false,true,false,false,unselect,true,true,false,unselect,false,True,True,32.41606900718041,53.43570155412277,100,2023-01-23 20:00:00,Khordad,fixed,agreeable,,,daily,,True,True,659479678.2867857,,2759830.336711908,True,,,6,1,200000,500000,1500000,,apartment,true,false,true,neighborhood_3
138,Property listing 138,A nice property with 3 bedrooms,apartment-rent,residential,shiraz,major,64.0,131.0,5plus_rooms,1401,0,15.0,south,mosaic,endowment,1-5,personal,,,7206137.7695125025,false,false,true,true,unselect,unselect,unselect,true,true,unselect,unselect,false,true,true,True,,34.2948901934703,50.883299663511266,100,2023-01-24 00:00:00,Mehr,agreeable,fixed,fixed,,,True,,False,59248452.39972754,True,1800498.9996678545,False,True,True,6,1,,,,,apartment,true,unselect,true,neighborhood_4
139,Property listing 139,A nice property with 1 bedrooms,apartment-sell,shop,mashhad,major,489.0,180.0,1_room,1401,11,16.0,east,parquet,endowment,10-20,agency,12523947268.152113,,21610881.60706215,false,unselect,unselect,unselect,false,false,true,unselect,false,false,false,unselect,false,true,,True,34.30501318035437,50.61582930300737,200,2023-01-24 04:00:00,Khordad,,fixed,fixed,False,monthly,,,True,957604371.1161709,True,5566058.981802935,False,,False,,2,,500000,1500000,,villa,unselect,false,true,neighborhood_1
140,Property listing 140,A nice property with 4 bedrooms,apartment-sell,commercial,isfahan,minor,320.0,354.0,3_rooms,1400,-1,9.0,north,ceramic,official,10-20,personal,18678124218.795086,6996136082.341484,24566138.796130873,unselect,unselect,unselect,false,true,true,unselect,unselect,true,true,true,false,false,false,False,True,35.80894914166298,53.639217315800764,100,2023-01-24 08:00:00,Bahman,fixed,,fixed,True,daily,True,False,True,147784133.47831777,True,8427654.36150301,False,False,False,6,,,,800000,,,unselect,true,false,neighborhood_4
141,Property listing 141,A nice property with 1 bedrooms,house-sell,shop,shiraz,capital,292.0,420.0,5plus_rooms,1400,15,3.0,west,ceramic,endowment,5-10,agency,12807721917.909098,7114106951.982706,,false,unselect,true,unselect,false,unselect,true,true,false,true,false,false,true,false,False,,33.77028322664684,53.75334881048584,200,2023-01-24 12:00:00,Mehr,agreeable,fixed,,False,daily,,False,False,745567951.7353511,,1528281.777258923,,False,False,,3,,,,1200000,,true,true,false,neighborhood_1
142,Property listing 142,A nice property with 4 bedrooms,apartment-rent,residential,mashhad,capital,349.0,433.0,0_rooms,1396,11,19.0,west,parquet,cooperative,5-10,agency,24498651229.27876,529141320.3304907,,false,true,false,true,unselect,true,unselect,unselect,unselect,false,unselect,false,false,true,False,False,34.76323049722427,50.05019279675564,500,2023-01-24 16:00:00,Mordad,fixed,agreeable,agreeable,False,daily,,False,,636136530.428131,,327343.4060421865,False,,,,,200000,500000,800000,,villa,unselect,true,true,neighborhood_2
143,Property listing 143,A nice property with 4 bedrooms,house-rent,office,tabriz,major,328.0,494.0,2_rooms,1396,2,5.0,north-west,laminate,endowment,10-20,personal,20429653279.5988,,3561164.71051823,false,unselect,false,unselect,unselect,unselect,unselect,true,true,true,false,false,true,true,False,,34.29988250958689,52.909742949661926,100,2023-01-24 20:00:00,Tir,fixed,,fixed,,daily,True,False,True,187528047.94656086,,2468117.4515403616,False,True,False,4,1,200000,1000000,800000,1200000,land,unselect,true,false,neighborhood_2
144,Property listing 144,A nice property with 4 bedrooms,land-sell,residential,shiraz,capital,203.0,474.0,2_rooms,1400,5,10.0,north,parquet,endowment,1-5,agency,49329817589.8884,4587950614.502829,34591392.40756854,false,false,false,false,unselect,true,false,true,true,unselect,unselect,true,unselect,true,True,,32.707040916404196,51.23683094611731,1000,2023-01-25 00:00:00,Khordad,fixed,fixed,,False,,,False,True,170732076.11304963,False,9797206.434538107,False,,True,4,,200000,500000,800000,600000,villa,unselect,unselect,true,neighborhood_3
145,Property listing 145,A nice property with 3 bedrooms,land-sell,residential,mashhad,capital,134.0,210.0,1_room,1398,15,17.0,south,stone,official,10-20,personal,,,22374506.438882224,unselect,true,false,true,unselect,false,false,unselect,true,true,false,unselect,true,unselect,,False,34.36825723101967,51.498817479868755,1000,2023-01-25 04:00:00,Aban,,fixed,fixed,,,False,False,,870327593.704692,True,8287580.7374333935,True,False,True,6,,200000,500000,,,,unselect,false,unselect,neighborhood_3
146,Property listing 146,A nice property with 3 bedrooms,house-rent,residential,mashhad,major,309.0,227.0,3_rooms,1398,7,15.0,north,parquet,endowment,5-10,personal,7194850681.728846,,,true,true,true,false,unselect,true,true,unselect,true,false,false,true,true,true,False,False,34.16046683745128,51.87641189980596,200,2023-01-25 08:00:00,Tir,agreeable,fixed,agreeable,False,daily,,True,True,419694923.49959713,False,5958660.535285966,False,,,4,2,100000,,800000,600000,villa,true,unselect,false,neighborhood_4
147,Property listing 147,A nice property with 3 bedrooms,house-sell,residential,tehran,major,360.0,539.0,3_rooms,1397,2,8.0,east,ceramic,endowment,1-5,personal,2736012106.0392637,,40985641.61280135,unselect,true,unselect,unselect,false,true,false,unselect,false,unselect,false,unselect,unselect,false,True,False,33.97562397563742,51.707163880698076,100,2023-01-25 12:00:00,Aban,,fixed,,False,monthly,,False,False,654576514.1741385,False,9292489.15243136,True,,True,2,3,,1000000,,,land,true,true,false,neighborhood_1
